source,target
infovis08--4658133,infovis01--963279
infovis08--4658140,infovis07--4376143
infovis08--4658140,infovis07--4376155
infovis08--4658140,infovis04--1382906
infovis08--4658140,infovis06--4015425
infovis08--4658140,infovis05--1532138
infovis08--4658140,infovis05--1532150
infovis08--4658140,infovis04--1382909
infovis08--4658140,infovis03--1249008
infovis08--4658131,infovis07--4376131
infovis08--4658131,infovis05--1532122
infovis08--4658131,infovis07--4376132
infovis08--4658131,infovis07--4376138
infovis08--4658149,infovis01--963290
infovis08--4658149,infovis07--4376129
infovis08--4658149,infovis01--963283
infovis08--4658149,infovis07--4376152
infovis08--4658138,infovis04--1382885
infovis08--4658138,infovis02--1173153
infovis08--4658141,infovis03--1249011
infovis08--4658141,infovis06--4015433
infovis08--4658127,infovis00--885092
infovis08--4658127,infovis07--4376131
infovis08--4658127,infovis07--4376144
infovis08--4658137,infovis06--4015435
infovis08--4658137,infovis05--1532151
infovis08--4658137,infovis06--4015424
infovis08--4658124,infovis06--4015436
infovis08--4658124,infovis98--729560
infovis08--4658124,infovis04--1382900
infovis08--4658124,infovis05--1532126
infovis08--4658124,infovis05--1532133
infovis08--4658124,infovis01--963289
infovis08--4658124,infovis07--4376151
infovis08--4658124,infovis03--1249020
infovis08--4658124,infovis04--1382899
infovis08--4658124,infovis04--1382884
infovis08--4658124,infovis05--1532151
infovis08--4658124,infovis05--1532132
infovis08--4658124,infovis07--4376132
infovis08--4658124,infovis07--4376144
infovis08--4658128,infovis07--4376145
infovis08--4658128,infovis07--4376134
infovis08--4658128,infovis03--1249031
infovis08--4658128,infovis04--1382897
infovis08--4658128,infovis05--1532122
infovis08--4658147,infovis04--1382886
infovis08--4658147,infovis07--4376131
infovis08--4658142,infovis06--4015434
infovis08--4658142,infovis99--801854
infovis08--4658142,infovis06--4015435
infovis08--4658142,infovis04--1382906
infovis08--4658142,infovis05--1532126
infovis08--4658142,infovis02--1173159
infovis08--4658142,infovis06--4015419
infovis08--4658142,infovis02--1173148
infovis08--4658142,infovis04--1382909
infovis08--4658132,infovis07--4376141
infovis08--4658132,infovis07--4376131
infovis08--4658126,infovis00--885102
infovis08--4658126,infovis07--4376137
infovis08--4658139,infovis07--4376136
infovis08--4658139,infovis04--1382887
infovis08--4658145,infovis06--4015416
infovis08--4658145,infovis03--1249011
infovis08--4658145,infovis97--636792
infovis08--4658145,infovis06--4015417
infovis08--4658145,infovis07--4376154
infovis08--4658145,infovis06--4015425
infovis08--4658143,infovis07--4376155
infovis08--4658143,infovis05--1532126
infovis08--4658143,infovis02--1173159
infovis08--4658143,infovis05--1532145
infovis08--4658125,infovis02--1173156
infovis08--4658125,infovis04--1382906
infovis08--4658125,infovis05--1532148
infovis08--4658125,infovis98--729558
infovis08--4658125,infovis01--963278
infovis08--4658125,infovis96--559214
infovis08--4658125,infovis05--1532132
infovis08--4658125,infovis00--885091
infovis08--4658125,infovis02--1173151
infovis08--4658148,infovis01--963288
infovis08--4658148,infovis99--801860
infovis08--4658130,infovis07--4376141
infovis08--4658130,infovis01--963287
infovis08--4658130,infovis07--4376146
infovis08--4658130,infovis98--729570
infovis08--4658130,infovis06--4015425
infovis08--4658130,infovis05--1532134
infovis08--4658130,infovis96--559210
infovis08--4658130,infovis00--885091
infovis08--4658130,infovis07--4376131
infovis08--4658130,infovis01--963279
infovis08--4658144,infovis05--1532136
infovis08--4658144,infovis00--885092
infovis08--4658144,infovis06--4015421
infovis08--4658144,infovis04--1382885
infovis08--4658144,infovis07--4376131
infovis08--4658144,infovis03--1249015
infovis09--5290720,infovis08--4658136
infovis09--5290720,infovis98--729560
infovis09--5290720,infovis04--1382905
infovis09--5290720,infovis00--885098
infovis09--5290720,infovis06--4015439
infovis09--5290720,infovis00--885086
infovis09--5290720,infovis07--4376131
infovis09--5290720,infovis04--1382904
infovis09--5290722,infovis07--4376134
infovis09--5290722,infovis07--4376131
infovis09--5290722,infovis05--1532122
infovis09--5290695,infovis05--1532136
infovis09--5290695,infovis04--1382902
infovis09--5290695,infovis08--4658137
infovis09--5290695,infovis97--636792
infovis09--5290695,infovis98--729560
infovis09--5290695,infovis06--4015417
infovis09--5290695,infovis08--4658124
infovis09--5290695,infovis05--1532124
infovis09--5290695,infovis05--1532150
infovis09--5290695,infovis08--4658146
infovis09--5290695,infovis04--1382903
infovis09--5290695,infovis07--4376144
infovis09--5290706,infovis07--4376140
infovis09--5290706,infovis08--4658142
infovis09--5290706,infovis08--4658123
infovis09--5290706,infovis08--4658148
infovis09--5290706,infovis05--1532126
infovis09--5290706,infovis06--4015419
infovis09--5290706,infovis05--1532150
infovis09--5290699,infovis04--1382906
infovis09--5290699,infovis04--1382909
infovis09--5290699,infovis06--4015425
infovis09--5290699,infovis06--4015419
infovis09--5290699,infovis06--4015424
infovis09--5290705,infovis98--729559
infovis09--5290705,infovis04--1382894
infovis09--5290705,infovis05--1532139
infovis09--5290705,infovis03--1249023
infovis09--5290705,infovis06--4015422
infovis09--5290705,infovis08--4658123
infovis09--5290705,infovis05--1532141
infovis09--5290705,infovis02--1173157
infovis09--5290705,infovis05--1532138
infovis09--5290705,infovis05--1532139
infovis09--5290705,infovis04--1382895
infovis09--5290705,infovis03--1249008
infovis09--5290705,infovis03--1249015
infovis09--5290726,infovis00--885098
infovis09--5290726,infovis07--4376131
infovis09--5290726,infovis08--4658133
infovis09--5290692,infovis06--4015425
infovis09--5290692,infovis05--1532134
infovis09--5290702,infovis07--4376146
infovis09--5290702,infovis03--1249006
infovis09--5290702,infovis08--4658146
infovis09--5290702,infovis08--4658149
infovis09--5290702,infovis07--4376144
infovis09--5290713,infovis98--729560
infovis09--5290713,infovis07--4376145
infovis09--5290713,infovis04--1382904
infovis09--5290713,infovis05--1532143
infovis09--5290704,infovis98--729559
infovis09--5290704,infovis06--4015421
infovis09--5290704,infovis08--4658134
infovis09--5290704,infovis04--1382895
infovis09--5290704,infovis04--1382892
infovis09--5290704,infovis05--1532142
infovis09--5290704,infovis04--1382891
infovis09--5290704,infovis04--1382893
infovis09--5290704,infovis03--1249015
infovis09--5290707,infovis08--4658123
infovis09--5290707,infovis04--1382905
infovis09--5290707,infovis00--885086
infovis09--5290711,infovis00--885098
infovis09--5290711,infovis05--1532122
infovis09--5290712,infovis03--1249027
infovis09--5290712,infovis06--4015432
infovis09--5290712,infovis95--528686
infovis09--5290700,infovis08--4658147
infovis09--5290697,infovis05--1532124
infovis09--5290697,infovis96--559216
infovis09--5290710,infovis08--4658140
infovis09--5290710,infovis06--4015422
infovis09--5290710,infovis06--4015425
infovis09--5290710,infovis05--1532150
infovis09--5290694,infovis06--4015427
infovis09--5290694,infovis07--4376143
infovis09--5290694,infovis07--4376136
infovis09--5290694,infovis04--1382887
infovis09--5290694,infovis06--4015426
infovis09--5290694,infovis05--1532144
infovis09--5290694,infovis99--801851
infovis09--5290725,infovis08--4658134
infovis09--5290717,infovis05--1532125
infovis09--5290717,infovis04--1382896
infovis09--5290717,infovis07--4376134
infovis09--5290717,infovis05--1532122
infovis09--5290717,infovis08--4658133
infovis09--5290714,infovis07--4376145
infovis09--5290714,infovis08--4658146
infovis09--5290714,infovis08--4658144
infovis09--5290690,infovis06--4015425
infovis09--5290698,infovis06--4015418
infovis09--5290719,infovis07--4376147
infovis09--5290719,infovis00--885092
infovis09--5290719,infovis06--4015422
infovis09--5290719,infovis04--1382905
infovis09--5290719,infovis02--1173156
infovis09--5290719,infovis06--4015439
infovis09--5290719,infovis04--1382904
infovis09--5290701,infovis08--4658140
infovis09--5290701,infovis06--4015425
infovis09--5290701,infovis95--528685
infovis09--5290701,infovis06--4015418
infovis09--5290701,infovis08--4658147
infovis09--5290701,infovis01--963281
infovis09--5290715,infovis08--4658131
infovis09--5290715,infovis98--729560
infovis09--5290715,infovis06--4015439
infovis09--5290715,infovis07--4376131
infovis09--5290715,infovis08--4658133
infovis09--5290708,infovis05--1532139
infovis09--5290708,infovis00--885098
infovis09--5290708,infovis97--636793
infovis09--5290708,infovis01--963288
infovis09--5290708,infovis08--4658127
infovis09--5290708,infovis06--4015432
infovis09--5290718,infovis97--636792
infovis09--5290718,infovis98--729560
